sentiment,Open Long,Open Short
Extreme Fear,68.81815502505158,31.181844974948426
Fear,62.080735606561944,37.919264393438056
Neutral,61.67119155354449,38.328808446455504
Greed,42.280285035629454,57.71971496437055
Extreme Greed,45.11924371553391,54.880756284466095
