sentiment,n_trades,n_accounts,total_volume_usd,avg_trade_size_usd,total_closed_pnl,total_fees,total_net_pnl,avg_closed_pnl_per_trade,median_closed_pnl_per_trade,n_realized_trades,win_rate_pct,avg_win_usd,avg_loss_usd,pnl_per_$_volume_bps
Extreme Fear,21400,32,114484261.44,5349.7318429906545,739110.24849,23888.6339393869,715221.6145506131,34.53786207897196,0.0,10406,76.21564482029598,173.42476737384948,-257.099628909899,64.55998747717474
Fear,61837,32,483324789.79,7816.109930785776,3357155.441642,92456.9486741548,3264698.4929678454,54.2903996254993,0.0,29808,87.28864734299518,151.84093464783427,-156.6624008867775,69.45961623654048
Neutral,37686,31,180242063.08,4782.732661465797,1292920.67555,39374.2683038708,1253546.4072461291,34.30771839807886,0.0,18159,82.38889806707418,112.43943157723415,-121.72784874202627,71.73246097256113
Greed,50303,31,288582494.72,5736.884375086974,2150129.272951,63098.6919791683,2087030.5809718317,42.74355948851957,0.0,25176,76.89068954559897,165.76171050769707,-181.9673288169474,74.50657306976238
Extreme Greed,39992,30,124465164.57,3112.2515645629123,2715171.310673,27030.66546515,2688140.64520785,67.89286133909282,0.0,20853,89.16702632714717,160.59326895165105,-119.92028871801683,218.14708718325522
