date,n_trades,total_pnl,total_volume,win_rate,avg_trade_size,fg_value,n_accounts,pnl_per_volume_bps
2024-01-06,22,135.58166400000002,298521.4,83.33333333333334,13569.154545454547,70.0,1,4.54177368858648
2024-01-07,97,-835.681235,1048850.06,24.324324324324326,10812.887216494846,71.0,1,-7.967594862892032
2024-01-08,128,-269.874439,1522452.43,47.76119402985074,11894.159609375,71.0,1,-1.772629697205055
2024-01-09,70,-826.349863,870051.97,64.28571428571429,12429.313857142857,76.0,1,-9.497706935828214
2024-01-10,193,-1517.091342,2057479.48,49.39759036144578,10660.515440414507,73.0,1,-7.373543001264829
2024-01-11,21,-164.08950099999998,305314.1,55.55555555555556,14538.766666666666,76.0,2,-5.374448838098208
2024-01-12,7,-1925.519024,200082.27,0.0,28583.181428571428,71.0,1,-96.23636437151579
2024-01-15,14,152.85358,50636.1,100.0,3616.8642857142854,52.0,2,30.186681043761272
2024-01-16,9,-2299.171458,116427.33,60.0,12936.37,64.0,2,-197.47695476654837
2024-01-17,53,813.2741110000001,800831.03,57.89473684210527,15110.019433962265,60.0,1,10.155377108701696
2024-01-18,46,68.93319,424631.52999999997,33.33333333333333,9231.120217391304,63.0,1,1.6233648499912383
2024-01-19,48,-385.419235,428428.97,22.22222222222222,8925.603541666665,51.0,2,-8.996105818894554
2024-01-20,106,-146.57487000000003,1070090.51,46.875,10095.193490566038,52.0,1,-1.3697427332572085
2024-01-21,11,266.58114600000005,103129.74,60.0,9375.43090909091,56.0,1,25.849104826599973
2024-01-22,85,1375.640959,337878.99,56.09756097560976,3975.0469411764707,55.0,2,40.71401299619133
2024-01-23,45,-369.2447299999998,414518.93000000005,55.00000000000001,9211.531777777778,50.0,1,-8.907789325809553
2024-01-24,68,-2808.353815,965084.59,25.0,14192.42044117647,48.0,1,-29.099561262293083
2024-01-25,6,-3093.6293849999997,66566.13,0.0,11094.355000000001,52.0,1,-464.7452668496726
2024-01-26,5,90.2,11773.21,100.0,2354.642,49.0,2,76.61461912256726
2024-01-28,11,-2478.06972,18109.03,0.0,1646.2754545454545,54.0,1,-1368.4165965819263
2024-01-29,74,486.562542,414208.18,100.0,5597.407837837838,55.0,2,11.746811518787487
2024-01-30,49,-173.65419100000003,401011.38,26.31578947368421,8183.905714285715,61.0,1,-4.33040556105914
2024-01-31,859,-799.840817,6305647.13,52.981651376146786,7340.683504074505,60.0,1,-1.2684515966563452
2024-02-01,6,0.0,2008.18,,334.69666666666666,63.0,1,0.0
2024-02-02,42,456.423473,474278.43,61.904761904761905,11292.343571428572,63.0,1,9.623534281329219
2024-02-03,56,223.30918699999998,603820.0,50.0,10782.5,60.0,1,3.698274104865688
2024-02-04,35,47.62389499999999,203187.53,32.142857142857146,5805.358,60.0,1,2.3438394570769177
2024-02-05,72,-33.45419400000003,770198.26,43.75,10697.198055555556,60.0,1,-0.43435821316968476
2024-02-06,1088,-215.615907,8047153.41,34.22562141491396,7396.280707720588,64.0,1,-0.26794059466054093
2024-02-07,15,241.24212,6758.73,100.0,450.582,62.0,1,356.93409856585487
2024-02-08,10,770.756024,26051.12,100.0,2605.112,66.0,1,295.8629126118186
2024-02-11,34,983.443176,212311.82,100.0,6244.465294117647,71.0,1,46.320698301206214
2024-02-12,16,913.8817869999998,227247.69999999998,40.0,14202.981249999999,70.0,1,40.21522712881142
2024-02-13,14,559.44389,1999.99,100.0,142.85642857142858,79.0,1,2797.2334361671806
2024-02-14,111,3830.599833,320839.88,98.80952380952381,2890.4493693693694,74.0,2,119.39288323508912
2024-02-15,63,1840.797677,185188.04,95.0,2939.4926984126987,72.0,2,99.40154218382568
2024-02-16,182,5491.768834,564896.51,100.0,3103.826978021978,72.0,2,97.21725549340003
2024-02-17,94,1929.6418,406118.07,93.84615384615384,4320.405,76.0,2,47.51430538414605
2024-02-18,97,477.6248299999999,157048.17,89.70588235294117,1619.0532989690723,72.0,1,30.412632633669013
2024-02-19,101,4317.768563,286377.2,97.46835443037975,2835.417821782178,75.0,2,150.77207832886137
2024-02-20,39,3263.628824,119419.72,96.875,3062.0441025641026,72.0,2,273.29061096442024
2024-02-21,22,1858.7985700000002,108047.51999999999,100.0,4911.250909090909,78.0,2,172.0352831791049
2024-02-22,88,3894.1050699999996,373033.87,74.07407407407408,4239.02125,74.0,2,104.39012066116139
2024-02-23,143,1418.55293,111106.14,99.27536231884058,776.966013986014,76.0,1,127.67547590079181
2024-02-25,5,-30.7705,4480.13,0.0,896.0260000000001,74.0,1,-68.68215877664264
2024-02-26,39,4416.8473,192187.14,100.0,4927.875384615385,72.0,2,229.82012740290534
2024-02-27,63,888.511733,209362.3,61.904761904761905,3323.2111111111108,79.0,2,42.43895548529989
2024-02-28,45,2503.747235,171107.13,100.0,3802.380666666667,82.0,1,146.32629481892425
2024-02-29,116,9813.996992,395666.73,100.0,3410.9200862068965,80.0,2,248.0369525130405
2024-03-01,137,8244.241409,472974.7,100.0,3452.370072992701,80.0,1,174.30618189514152
2024-03-02,31,230.90060000000005,63197.56,75.0,2038.6309677419354,80.0,2,36.53631564256595
2024-03-03,79,8361.086245,390745.68,100.0,4946.1478481012655,83.0,1,213.97770142973815
2024-03-04,300,27799.775742,1577996.87,98.51851851851852,5259.989566666667,82.0,2,176.17129837526232
2024-03-05,180,19791.026041,841810.32,100.0,4676.724,90.0,1,235.10077710855342
2024-03-06,82,6814.825139,327218.02,100.0,3990.4636585365856,75.0,1,208.26558204221146
2024-03-08,67,4271.886236,183583.18,100.0,2740.047462686567,81.0,1,232.6948599539457
2024-03-09,117,9949.501624,658178.75,90.65420560747664,5625.459401709401,84.0,1,151.1671658193158
2024-03-10,42,2482.9272,219973.85,76.31578947368422,5237.472619047619,79.0,1,112.87374385637202
2024-03-11,42,3588.179495,176519.44999999998,100.0,4202.844047619047,82.0,1,203.27388823158014
2024-03-12,8,3039.166,103040.85,100.0,12880.10625,81.0,1,294.9476833702362
2024-03-13,7,0.0,6000.799999999999,,857.2571428571428,81.0,1,0.0
2024-03-14,18,3465.865832,205933.18,100.0,11440.732222222221,88.0,2,168.30050563003007
2024-03-15,62,6236.513651,351894.41,100.0,5675.71629032258,83.0,3,177.22684628607772
2024-03-16,8,228.57984,37223.66,100.0,4652.9575,81.0,2,61.407137288488016
2024-03-17,23,503.293955,99506.95,100.0,4326.389130434783,79.0,3,50.57877414592649
2024-03-18,19,1456.9577,90458.08,100.0,4760.951578947369,77.0,3,161.06440685011222
2024-03-19,24,668.797973,219884.84,71.42857142857143,9161.868333333334,79.0,3,30.415829167667944
2024-03-20,69,6423.134599,215705.85,100.0,3126.171739130435,74.0,2,297.77285126944867
2024-03-21,28,2335.5080749999997,117895.57,100.0,4210.556071428572,78.0,3,198.0997313978803
2024-03-24,19,1297.018477,92592.20999999999,100.0,4873.274210526315,74.0,1,140.07857432066913
2024-03-25,7,1302.916428,57116.32,100.0,8159.4742857142855,75.0,1,228.11631211534635
2024-03-26,118,3215.906593,198565.19,100.0,1682.7558474576272,81.0,2,161.9572188357889
2024-03-27,38,150.41114,99864.79,63.1578947368421,2628.020789473684,83.0,2,15.0614786252492
