sentiment_3,n_trades,n_accounts,total_volume_usd,avg_trade_size_usd,total_closed_pnl,total_fees,total_net_pnl,avg_closed_pnl_per_trade,median_closed_pnl_per_trade,n_realized_trades,win_rate_pct,avg_win_usd,avg_loss_usd,pnl_per_$_volume_bps
Fear,83237,32,597809051.23,7182.011019498541,4096265.690132,116345.5826135417,3979920.1075184583,49.212077443108235,0.0,40214,84.42333515691053,156.88309598362298,-196.34665046487868,68.52130595386402
Neutral,37686,31,180242063.08,4782.732661465797,1292920.67555,39374.2683038708,1253546.4072461291,34.30771839807886,0.0,18159,82.38889806707418,112.43943157723415,-121.72784874202627,71.73246097256113
Greed,90295,31,413047659.29,4574.424489617366,4865300.583624,90129.3574443183,4775171.226179682,53.88228122956974,0.0,46029,82.45236698603054,163.22951188066503,-164.6138233590442,117.79029548278062
